Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Luxembourg,LUX,0,,0.152653068,0.30116992,0.495104818,1.586647487,5.540287981,7.141086355,11.75982428,17.39502648,22.84488963,35.99830058,39.5459604,53.91104887,64.84353996,68.80197696,71.42826495,78.21645082,81.91548476,87.28439193,90.90642586
"Macao SAR, China",MAC,0,,,,0.036993376,0.280014086,0.727273598,2.364127672,7.003324245,9.212005085,13.60858974,22.52121677,25.17188016,25.74212398,31.48409738,34.86292717,46.4,47.327,49.24,54,56.8
"Macedonia, FYR",MKD,0,,,,,0.04074384,0.075995734,0.503985009,1.002861666,1.49733026,2.485566316,3.468184608,17.33,19.07,24.44,26.45,28.62,36.3,46.04,51.77,51.9
Madagascar,MDG,0,,,,,,0.003695196,0.014333647,0.062561023,0.168608781,0.196394691,0.222511586,0.339720155,0.423252419,0.525353655,0.567721802,0.607552239,0.65,1.65,1.63,1.7
Malawi,MWI,0,,,,,,,0.004668518,0.018057365,0.087278755,0.126780945,0.164020725,0.215094727,0.278815116,0.347505335,0.384489334,0.42513749,0.965864737,0.7,1.07,2.26
Malaysia,MYS,0,,0.001047822,0.025538478,0.099607417,0.145673837,0.852044466,2.307393234,6.751770483,12.3055022,21.38473116,26.6959725,32.33820434,34.97115234,42.25226563,48.62917025,51.63798899,55.7,55.8,55.9,55.3
Maldives,MDV,0,0,0,0,0,0,0.22693009,0.309444238,0.569627464,1.119908615,2.203872939,3.617290649,5.347765169,5.97659285,6.588254875,6.869605067,11.03635278,16.3,23.2,24.8,28.3
Mali,MLI,0,,,,,,0.002055228,0.010085919,0.019793888,0.060909873,0.142545755,0.185897413,0.227045578,0.310364443,0.43281964,0.507063136,0.729627281,0.81,1.57,1.92,2.7
Malta,MLT,0,,,,,0.230100363,1.077198581,4.007605715,6.643108951,7.906574218,13.36320543,18.18343313,29.37830103,32.13256163,35.13032552,41.7973732,40.87494449,47.30794573,50.32265003,59.13486704,63.54218679
Marshall Islands,MHL,0,0,0,0,0,0,0.037059432,,,0.966071567,1.534271796,1.706614078,2.335444575,2.569750367,3.599776814,3.878702398,3.795590214,3.71082549,3.626772173,3.546042133,
Mauritania,MRT,0,,,,,,,0.004172527,0.040594795,0.118464464,0.192031462,0.261448552,0.363229415,0.424004896,0.481470438,0.669966475,0.979661253,1.433613196,1.87,2.28,2.9
Mauritius,MUS,0,,,,,,0.186435279,0.481471192,2.594084678,4.688642667,7.337695439,8.842361807,10.3436041,12.29457462,13.82541499,15.33684383,16.88255568,20.45990853,22.06774514,22.79745491,25.24900821
Mayotte,MYT,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,0,0.005880695,0.01730781,0.028305042,0.043339167,0.10256419,0.20040628,0.62731154,1.265783278,1.857436221,5.081384153,7.038023117,11.9,12.9,14.1,17.21,19.52,20.81,21.7,26.3,31
"Micronesia, Fed. Sts.",FSM,0,,,,,,0.278037795,0.570676845,1.858718785,2.797594069,3.734862137,4.660527199,5.570099705,9.2325021,11.01786731,11.8813691,12.75033925,13.62113273,14.49,15.35,20
Moldova,MDA,0,,,,0.00097444,0.004081523,0.005454152,0.032807508,0.301412074,0.686360664,1.447502179,1.655275796,4.148664062,7.988892868,11.28997062,15.32896378,20.32897349,20.99105623,23.81554111,37.38654051,40.12153635
Monaco,MCO,,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,0,,,,,0.008811225,0.018160749,0.112742554,0.145810542,0.50847156,1.255652004,1.653238239,2.039572603,5.74773713,7.944553373,10.52245994,12.0104204,12.25371469,12.49,12.6,12.9
